[09-Nov-2018 11:22:29 UTC] PHP Notice:  Undefined variable: _SESSION in /mnt/project/Sessions/index.php on line 9
[09-Nov-2018 11:25:51 UTC] PHP Parse error:  syntax error, unexpected 'startSession' (T_STRING), expecting ',' or ';' in /mnt/project/Sessions/index.php on line 14
[09-Nov-2018 11:33:39 UTC] PHP Parse error:  syntax error, unexpected '<' in /mnt/project/Sessions/startSession.php on line 12
[09-Nov-2018 11:33:43 UTC] PHP Parse error:  syntax error, unexpected '<' in /mnt/project/Sessions/startSession.php on line 13
[09-Nov-2018 11:33:48 UTC] PHP Parse error:  syntax error, unexpected 'action' (T_STRING), expecting ',' or ';' in /mnt/project/Sessions/startSession.php on line 13
[09-Nov-2018 11:33:53 UTC] PHP Parse error:  syntax error, unexpected 'els' (T_STRING), expecting ',' or ';' in /mnt/project/Sessions/startSession.php on line 12
[09-Nov-2018 11:33:58 UTC] PHP Parse error:  syntax error, unexpected 'else' (T_ELSE), expecting ',' or ';' in /mnt/project/Sessions/startSession.php on line 12
[09-Nov-2018 11:34:02 UTC] PHP Parse error:  syntax error, unexpected 'else' (T_ELSE), expecting ',' or ';' in /mnt/project/Sessions/startSession.php on line 12
[09-Nov-2018 11:34:05 UTC] PHP Parse error:  syntax error, unexpected 'else' (T_ELSE), expecting ',' or ';' in /mnt/project/Sessions/startSession.php on line 12
[09-Nov-2018 11:34:10 UTC] PHP Parse error:  syntax error, unexpected 'else' (T_ELSE), expecting ',' or ';' in /mnt/project/Sessions/startSession.php on line 12
[09-Nov-2018 11:40:09 UTC] PHP Parse error:  syntax error, unexpected 'else' (T_ELSE), expecting ',' or ';' in /mnt/project/Sessions/startSession.php on line 13
[09-Nov-2018 11:40:32 UTC] PHP Parse error:  syntax error, unexpected '<' in /mnt/project/Sessions/startSession.php on line 13
[09-Nov-2018 11:40:36 UTC] PHP Parse error:  syntax error, unexpected '}' in /mnt/project/Sessions/startSession.php on line 14
[09-Nov-2018 11:40:41 UTC] PHP Parse error:  syntax error, unexpected '"' (T_CONSTANT_ENCAPSED_STRING), expecting ',' or ';' in /mnt/project/Sessions/startSession.php on line 17
[09-Nov-2018 11:40:46 UTC] PHP Parse error:  syntax error, unexpected 'index' (T_STRING), expecting ',' or ';' in /mnt/project/Sessions/startSession.php on line 13
[09-Nov-2018 11:40:50 UTC] PHP Parse error:  syntax error, unexpected 'index' (T_STRING), expecting ',' or ';' in /mnt/project/Sessions/startSession.php on line 13
[09-Nov-2018 11:40:55 UTC] PHP Parse error:  syntax error, unexpected 'href' (T_STRING), expecting ',' or ';' in /mnt/project/Sessions/startSession.php on line 13
[09-Nov-2018 11:41:00 UTC] PHP Parse error:  syntax error, unexpected 'index' (T_STRING), expecting ',' or ';' in /mnt/project/Sessions/startSession.php on line 13
[09-Nov-2018 11:41:03 UTC] PHP Parse error:  syntax error, unexpected '}' in /mnt/project/Sessions/startSession.php on line 14
[09-Nov-2018 11:41:07 UTC] PHP Parse error:  syntax error, unexpected 'type' (T_STRING), expecting ',' or ';' in /mnt/project/Sessions/startSession.php on line 18
[09-Nov-2018 11:45:17 UTC] PHP Parse error:  syntax error, unexpected '}', expecting ',' or ';' in /mnt/project/Sessions/index.php on line 15
[12-Nov-2018 11:53:55 UTC] PHP Parse error:  syntax error, unexpected 'include' (T_INCLUDE) in /mnt/project/index.php on line 16
[12-Nov-2018 12:43:55 UTC] PHP Fatal error:  Cannot redeclare getMovieCategories() (previously declared in /mnt/project/dbFunctions.php:4) in /mnt/project/dbFunctions.php on line 4
[12-Nov-2018 12:46:58 UTC] PHP Notice:  Undefined variable: movcat in /mnt/project/navbar.php on line 27
[12-Nov-2018 12:46:58 UTC] PHP Warning:  Invalid argument supplied for foreach() in /mnt/project/navbar.php on line 27
[12-Nov-2018 12:47:01 UTC] PHP Notice:  Undefined variable: movcat in /mnt/project/navbar.php on line 27
[12-Nov-2018 12:47:01 UTC] PHP Warning:  Invalid argument supplied for foreach() in /mnt/project/navbar.php on line 27
[12-Nov-2018 12:47:04 UTC] PHP Notice:  Undefined variable: movcat in /mnt/project/navbar.php on line 27
[12-Nov-2018 12:47:04 UTC] PHP Warning:  Invalid argument supplied for foreach() in /mnt/project/navbar.php on line 27
[12-Nov-2018 12:47:07 UTC] PHP Notice:  Undefined variable: movcat in /mnt/project/navbar.php on line 27
[12-Nov-2018 12:47:07 UTC] PHP Warning:  Invalid argument supplied for foreach() in /mnt/project/navbar.php on line 27
[12-Nov-2018 12:47:13 UTC] PHP Notice:  Undefined variable: movcat in /mnt/project/navbar.php on line 27
[12-Nov-2018 12:47:13 UTC] PHP Warning:  Invalid argument supplied for foreach() in /mnt/project/navbar.php on line 27
[12-Nov-2018 12:47:47 UTC] PHP Notice:  Undefined variable: movcat in /mnt/project/navbar.php on line 17
[12-Nov-2018 12:47:47 UTC] PHP Warning:  Invalid argument supplied for foreach() in /mnt/project/navbar.php on line 17
[12-Nov-2018 12:47:53 UTC] PHP Notice:  Undefined variable: movcat in /mnt/project/navbar.php on line 17
[12-Nov-2018 12:47:53 UTC] PHP Warning:  Invalid argument supplied for foreach() in /mnt/project/navbar.php on line 17
[12-Nov-2018 12:47:56 UTC] PHP Notice:  Undefined variable: movcat in /mnt/project/navbar.php on line 17
[12-Nov-2018 12:47:56 UTC] PHP Warning:  Invalid argument supplied for foreach() in /mnt/project/navbar.php on line 17
[12-Nov-2018 12:48:00 UTC] PHP Notice:  Undefined variable: movcat in /mnt/project/navbar.php on line 17
[12-Nov-2018 12:48:00 UTC] PHP Warning:  Invalid argument supplied for foreach() in /mnt/project/navbar.php on line 17
[12-Nov-2018 12:48:02 UTC] PHP Notice:  Undefined variable: movcat in /mnt/project/navbar.php on line 17
[12-Nov-2018 12:48:02 UTC] PHP Warning:  Invalid argument supplied for foreach() in /mnt/project/navbar.php on line 17
[12-Nov-2018 12:48:02 UTC] PHP Notice:  Undefined variable: movcat in /mnt/project/navbar.php on line 17
[12-Nov-2018 12:48:02 UTC] PHP Warning:  Invalid argument supplied for foreach() in /mnt/project/navbar.php on line 17
[12-Nov-2018 12:49:12 UTC] PHP Warning:  include(dbfunctions.php): failed to open stream: No such file or directory in /mnt/project/navbar.php on line 17
[12-Nov-2018 12:49:12 UTC] PHP Warning:  include(): Failed opening 'dbfunctions.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /mnt/project/navbar.php on line 17
[12-Nov-2018 12:49:12 UTC] PHP Fatal error:  Call to undefined function getmoviecategories() in /mnt/project/navbar.php on line 18
[12-Nov-2018 12:49:57 UTC] PHP Warning:  include(dbfunctions.php): failed to open stream: No such file or directory in /mnt/project/navbar.php on line 17
[12-Nov-2018 12:49:57 UTC] PHP Warning:  include(): Failed opening 'dbfunctions.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /mnt/project/navbar.php on line 17
[12-Nov-2018 12:49:57 UTC] PHP Fatal error:  Call to undefined function getmoviecategories() in /mnt/project/navbar.php on line 18
[12-Nov-2018 12:50:14 UTC] PHP Warning:  include(dbfunctions.php): failed to open stream: No such file or directory in /mnt/project/navbar.php on line 17
[12-Nov-2018 12:50:14 UTC] PHP Warning:  include(): Failed opening 'dbfunctions.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /mnt/project/navbar.php on line 17
[12-Nov-2018 12:50:14 UTC] PHP Fatal error:  Call to undefined function getmoviecategories() in /mnt/project/navbar.php on line 18
